Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFOSYSTCH,EQ,01-Jan-1996,408,407,407.9,405,-,407.9,406.48,400,162590,-,-,-
INFOSYSTCH,EQ,02-Jan-1996,407.9,407,409,406.25,-,406.25,407.58,400,163030,-,-,-
INFOSYSTCH,EQ,03-Jan-1996,406.25,409,409,409,-,409,409,200,81800,-,-,-
INFOSYSTCH,EQ,04-Jan-1996,409,405,407,405,-,406.3,405.65,600,243390,-,-,-
INFOSYSTCH,EQ,05-Jan-1996,406.3,401.5,401.5,401.5,-,401.5,401.5,100,40150,-,-,-
INFOSYSTCH,EQ,08-Jan-1996,401.5,401.5,405,402,-,404,404.14,700,282900,-,-,-
INFOSYSTCH,EQ,09-Jan-1996,404,404,400,395,-,399.5,399.53,1700,679200,-,-,-
INFOSYSTCH,EQ,10-Jan-1996,399.5,399.5,397,395,-,396,395.29,700,276700,-,-,-
INFOSYSTCH,EQ,11-Jan-1996,396,399,405,396,-,405,400.44,1600,640700,-,-,-
INFOSYSTCH,EQ,12-Jan-1996,405,403,403,400,-,402.75,401.35,700,280945,-,-,-
INFOSYSTCH,EQ,15-Jan-1996,402.75,397.5,402,397.5,-,398.25,398.46,600,239075,-,-,-
INFOSYSTCH,EQ,16-Jan-1996,398.25,398.25,400,365,-,400,392.79,700,274950,-,-,-
INFOSYSTCH,EQ,17-Jan-1996,400,400,401,395,-,396.2,399.05,1500,598575,-,-,-
INFOSYSTCH,EQ,18-Jan-1996,396.2,396.2,397.5,394,-,397.5,394.89,400,157955,-,-,-
INFOSYSTCH,EQ,19-Jan-1996,397.5,395,395,393.25,-,393.5,394.25,1000,394245,-,-,-
INFOSYSTCH,EQ,22-Jan-1996,393.5,395,397.5,395,-,397.5,395.63,400,158250,-,-,-
INFOSYSTCH,EQ,23-Jan-1996,397.5,393,400,393,-,396.25,396.79,1300,515825,-,-,-
INFOSYSTCH,EQ,24-Jan-1996,396.25,396.25,394.5,385.5,-,394.5,390.47,800,312375,-,-,-
INFOSYSTCH,EQ,25-Jan-1996,394.5,394.75,394.75,393,-,393,393.88,200,78775,-,-,-
INFOSYSTCH,EQ,29-Jan-1996,393,392,392,390.75,-,390.75,391.38,200,78275,-,-,-
INFOSYSTCH,EQ,30-Jan-1996,390.75,390.75,397,395,-,395.5,395.48,2800,1107345,-,-,-
INFOSYSTCH,EQ,31-Jan-1996,395.5,395.5,400,393,-,400,398.62,900,358755,-,-,-
INFOSYSTCH,EQ,01-Feb-1996,400,400,415,400,-,415,409.37,1600,654995,-,-,-
INFOSYSTCH,EQ,02-Feb-1996,415,415,430,415,-,429.95,425.88,4600,1959045,-,-,-
INFOSYSTCH,EQ,05-Feb-1996,429.95,429.95,431,420.05,-,430,427.57,1600,684105,-,-,-
INFOSYSTCH,EQ,06-Feb-1996,430,430,452.5,430,-,440,443.76,2700,1198150,-,-,-
INFOSYSTCH,EQ,07-Feb-1996,440,440,432,427,-,428.3,428.69,1900,814510,-,-,-
INFOSYSTCH,EQ,08-Feb-1996,428.3,435,455,435,-,455,444.55,1500,666825,-,-,-
INFOSYSTCH,EQ,09-Feb-1996,455,455,475,425,-,472.35,451.59,2700,1219305,-,-,-
INFOSYSTCH,EQ,12-Feb-1996,472.35,472.35,479,465,-,467,468.88,1600,750200,-,-,-
INFOSYSTCH,EQ,13-Feb-1996,467,480,490,480,-,490,485.87,4000,1943475,-,-,-
INFOSYSTCH,EQ,14-Feb-1996,490,490,512.5,487,-,508.5,503.53,1900,956705,-,-,-
INFOSYSTCH,EQ,15-Feb-1996,508.5,508.5,515,490,-,513.3,507.78,4300,2183445,-,-,-
