,Date,Open Price,High Price,Low Price,Close Price
0,01-Jan-1997,790.0,810.0,790.0,790.1
1,02-Jan-1997,799.9,804.0,791.0,797.4
2,03-Jan-1997,791.05,799.0,791.05,796.0
3,06-Jan-1997,809.0,809.0,800.0,800.0
4,07-Jan-1997,790.05,803.0,790.05,801.7
5,08-Jan-1997,810.0,810.0,800.05,801.6
6,09-Jan-1997,800.0,809.5,800.0,809.45
7,10-Jan-1997,819.5,830.0,815.0,821.05
8,13-Jan-1997,829.9,832.9,827.1,832.9
9,14-Jan-1997,835.0,835.0,827.05,833.85
10,15-Jan-1997,858.5,870.0,858.0,869.9
11,16-Jan-1997,885.0,885.0,811.2,811.2
12,17-Jan-1997,815.0,830.0,815.0,830.0
13,20-Jan-1997,835.95,842.0,826.0,826.0
14,21-Jan-1997,810.05,824.0,805.0,807.7
15,22-Jan-1997,821.0,836.5,816.0,836.5
16,24-Jan-1997,826.1,826.1,817.0,818.25
17,27-Jan-1997,855.9,870.0,850.0,850.0
18,28-Jan-1997,838.0,838.0,827.05,831.8
19,29-Jan-1997,837.0,837.0,837.0,837.0
20,30-Jan-1997,828.0,833.5,826.25,828.15
21,31-Jan-1997,827.0,835.0,827.0,834.0
22,03-Feb-1997,827.0,840.0,827.0,835.1
23,04-Feb-1997,835.0,862.0,835.0,837.75
24,05-Feb-1997,869.0,869.75,855.0,855.0
25,06-Feb-1997,845.0,858.0,845.0,855.0
26,07-Feb-1997,862.0,865.0,862.0,862.0
27,10-Feb-1997,870.0,870.0,865.0,866.0
28,11-Feb-1997,870.0,890.0,869.0,889.95
29,12-Feb-1997,905.0,905.0,886.25,900.0
30,13-Feb-1997,899.1,903.0,897.0,902.35
31,14-Feb-1997,948.95,948.95,895.0,895.35
32,17-Feb-1997,915.0,915.0,895.0,900.95
33,18-Feb-1997,899.0,904.95,895.0,898.45
34,19-Feb-1997,861.5,910.0,861.5,910.0
35,20-Feb-1997,908.0,912.0,905.0,910.05
36,21-Feb-1997,905.05,921.0,905.05,921.0
37,24-Feb-1997,907.0,910.0,905.1,905.55
38,25-Feb-1997,910.0,925.0,906.1,916.15
39,26-Feb-1997,920.0,944.0,920.0,942.35
40,27-Feb-1997,940.15,959.5,940.0,959.5
41,28-Feb-1997,1010.0,1029.0,1010.0,1026.0
