Date,Open Price,High Price,Low Price,Close Price,Candle Color,Upper Shadow,Lower Shadow,Body,universe_disc,fMag,fBody,fUS,fLS,Bias,Magnitude,fm,md,fcs
15-Jan-1996,397.5,402.0,397.5,398.25,White,3,0,0.75,1,VB,VB,VB,TNY,Positive,2,Extremely Bullish,BL,VBTNYVBW
24-Jan-1996,396.25,394.5,385.5,394.5,Black,1,9,1.75,1,VB,VB,VB,VB,Positive,1,Extremely Bullish,BL,VBVBVBB
02-Feb-1996,415.0,430.0,415.0,429.95,White,0,0,14.949999999999989,5,VB,VB,TNY,TNY,Positive,34,Extremely Bullish,BL,TNYTNYVBW
07-Mar-1996,466.5,480.0,469.95,480.0,White,0,3,13.5,3,VB,VB,TNY,VB,Positive,7,Extremely Bullish,BL,TNYVBVBW
11-Mar-1996,483.95,480.0,477.05,479.0,Black,3,1,4.949999999999988,4,VB,VB,VB,VS,Positive,12,Extremely Bullish,BL,VBVSVBB
14-Mar-1996,468.5,480.0,479.75,480.0,White,0,11,11.5,2,SM,VB,TNY,VB,Positive,1,,NT,TNYVBVBW
15-Mar-1996,480.0,478.05,478.0,478.0,Black,1,0,2.0,0,VB,VB,VB,TNY,Negative,2,Extremely Bearish,BR,VBTNYVBB
02-Apr-1996,502.95,505.0,499.0,505.0,White,0,3,2.050000000000012,1,VB,VB,TNY,VB,Positive,29,Extremely Bullish,BL,TNYVBVBW
19-Apr-1996,640.9,651.0,632.5,636.0,Black,10,3,4.899999999999976,4,VB,VB,VB,VB,Positive,18,Extremely Bullish,BL,VBVBVBB
24-May-1996,659.85,662.0,651.0,661.0,White,1,8,1.1499999999999773,4,VB,VS,VS,VB,Negative,5,Extremely Bearish,BR,VSVBVSW
27-May-1996,661.0,655.0,648.25,648.25,Black,6,0,12.75,5,VB,VB,VB,TNY,Negative,16,Extremely Bearish,BR,VBTNYVBB
12-Jun-1996,710.0,719.0,708.0,710.1,White,8,2,0.10000000000002274,1,VB,TNY,VB,VB,Positive,18,Extremely Bullish,BL,VBVBTNYW
13-Jun-1996,705.0,709.9,700.0,706.95,White,2,5,1.9500000000000453,2,VB,VB,VB,VB,Positive,2,Extremely Bullish,BL,VBVBVBW
14-Jun-1996,708.95,711.0,706.0,710.0,White,1,2,1.0499999999999543,2,VB,SM,SM,VB,Positive,4,Extremely Bullish,BL,SMVBSMW
22-Jul-1996,705.0,705.0,700.0,700.0,Black,0,0,5.0,3,VB,VB,TNY,TNY,Positive,8,Extremely Bullish,BL,TNYTNYVBB
30-Aug-1996,675.0,675.0,670.0,670.0,Black,0,0,5.0,3,VB,VB,TNY,TNY,Positive,12,Extremely Bullish,BL,TNYTNYVBB
04-Sep-1996,667.0,670.35,667.0,670.35,White,0,0,3.3500000000000227,4,TNY,VB,TNY,TNY,Positive,0,Neutral,NT,TNYTNYVBW
19-Sep-1996,664.0,670.0,664.0,670.0,White,0,0,6.0,3,VB,VB,TNY,TNY,Positive,10,Extremely Bullish,BL,TNYTNYVBW
20-Sep-1996,670.0,672.0,670.0,670.25,White,1,0,0.25,3,VB,TNY,VS,TNY,Positive,10,Extremely Bullish,BL,VSTNYTNYW
24-Oct-1996,720.0,720.0,690.15,690.35,Black,0,0,29.649999999999977,10,VB,VB,TNY,TNY,Positive,22,Extremely Bullish,BL,TNYTNYVBB
28-Oct-1996,690.0,690.0,680.05,687.3,Black,0,7,2.700000000000045,6,VB,SM,TNY,VB,Negative,11,Extremely Bearish,BR,TNYVBSMB
31-Oct-1996,682.0,684.0,666.0,679.9,Black,2,13,2.1000000000000227,3,VB,VB,BG,VB,Negative,9,Extremely Bearish,BR,BGVBVBB
08-Nov-1996,698.95,698.95,694.05,694.05,Black,0,0,4.900000000000091,2,VB,VB,TNY,TNY,Positive,14,Extremely Bullish,BL,TNYTNYVBB
13-Nov-1996,688.05,695.0,688.05,695.0,White,0,0,6.9500000000000455,1,TNY,VB,TNY,TNY,Positive,0,Neutral,NT,TNYTNYVBW
25-Nov-1996,690.0,694.0,690.0,694.0,White,0,0,4.0,1,VB,VB,TNY,TNY,Negative,8,Extremely Bearish,BR,TNYTNYVBW
