,Date,Open Price,High Price,Low Price,Close Price,Candle Color,Upper Shadow,Lower Shadow,Body,universe_disc,fMag,fBody,fUS,fLS,Bias,Magnitude,fm,md,fcs,future
0,01-Jan-1996,407.0,407.9,405.0,407.9,White,0,2,0.8999999999999773,0,,,,,,0,,,,BR
1,02-Jan-1996,407.0,409.0,406.25,406.25,Black,2,0,0.75,0,,,,,,0,,,,BR
2,03-Jan-1996,409.0,409.0,409.0,409.0,White,0,0,0.0,0,,,,,,0,,,,BR
3,04-Jan-1996,405.0,407.0,405.0,406.3,White,0,0,1.3000000000000114,1,VB,VB,TNY,TNY,Negative,1,Extremely Bearish,BR,TNYTNYVBW,BR
4,05-Jan-1996,401.5,401.5,401.5,401.5,White,0,0,0.0,1,VB,TNY,TNY,TNY,Negative,4,Extremely Bearish,BR,TNYTNYTNYW,BR
5,08-Jan-1996,401.5,405.0,402.0,404.0,White,1,0,2.5,2,VB,VB,SM,TNY,Negative,5,Extremely Bearish,BR,SMTNYVBW,BL
6,09-Jan-1996,404.0,400.0,395.0,399.5,Black,4,4,4.5,2,VB,VB,VB,VB,Negative,6,Extremely Bearish,BR,VBVBVBB,BL
7,10-Jan-1996,399.5,397.0,395.0,396.0,Black,2,1,3.5,1,VB,VB,VB,VB,Negative,5,Extremely Bearish,BR,VBVBVBB,BL
8,11-Jan-1996,399.0,405.0,396.0,405.0,White,0,3,6.0,1,VB,VB,TNY,VB,Positive,1,Extremely Bullish,BL,TNYVBVBW,BR
9,12-Jan-1996,403.0,403.0,400.0,402.75,Black,0,2,0.25,0,VB,VB,TNY,VB,Positive,3,Extremely Bullish,BL,TNYVBVBB,BR
10,15-Jan-1996,397.5,402.0,397.5,398.25,White,3,0,0.75,1,VB,VB,VB,TNY,Positive,2,Extremely Bullish,BL,VBTNYVBW,NT
11,16-Jan-1996,398.25,400.0,365.0,400.0,White,0,33,1.75,1,VB,VB,TNY,VB,Negative,5,Extremely Bearish,BR,TNYVBVBW,BR
12,17-Jan-1996,400.0,401.0,395.0,396.2,Black,1,1,3.8000000000000114,1,VB,VB,VB,VB,Negative,6,Extremely Bearish,BR,VBVBVBB,BL
13,18-Jan-1996,396.2,397.5,394.0,397.5,White,0,2,1.3000000000000114,1,TNY,VB,TNY,VB,Negative,0,Neutral,NT,TNYVBVBW,BR
14,19-Jan-1996,395.0,395.0,393.25,393.5,Black,0,0,1.5,1,VB,VB,TNY,TNY,Negative,6,Extremely Bearish,BR,TNYTNYVBB,BL
15,22-Jan-1996,395.0,397.5,395.0,397.5,White,0,0,2.5,1,VB,VB,TNY,TNY,Positive,1,Extremely Bullish,BL,TNYTNYVBW,BR
16,23-Jan-1996,393.0,400.0,393.0,396.25,White,3,0,3.25,1,VB,VB,VB,TNY,Negative,1,Extremely Bearish,BR,VBTNYVBW,BR
17,24-Jan-1996,396.25,394.5,385.5,394.5,Black,1,9,1.75,1,VB,VB,VB,VB,Positive,1,Extremely Bullish,BL,VBVBVBB,NT
18,25-Jan-1996,394.75,394.75,393.0,393.0,Black,0,0,1.75,1,VB,VB,TNY,TNY,Negative,4,Extremely Bearish,BR,TNYTNYVBB,BL
19,29-Jan-1996,392.0,392.0,390.75,390.75,Black,0,0,1.25,3,VB,SM,TNY,TNY,Negative,5,Extremely Bearish,BR,TNYTNYSMB,BL
20,30-Jan-1996,390.75,397.0,395.0,395.5,White,1,4,4.75,5,TNY,VB,TNY,VB,Positive,1,Neutral,NT,TNYVBVBW,BL
21,31-Jan-1996,395.5,400.0,393.0,400.0,White,0,2,4.5,4,VB,VB,TNY,SM,Positive,7,Extremely Bullish,BL,TNYSMVBW,BL
22,01-Feb-1996,400.0,415.0,400.0,415.0,White,0,0,15.0,5,VB,VB,TNY,TNY,Positive,24,Extremely Bullish,BL,TNYTNYVBW,BL
23,02-Feb-1996,415.0,430.0,415.0,429.95,White,0,0,14.949999999999989,5,VB,VB,TNY,TNY,Positive,34,Extremely Bullish,BL,TNYTNYVBW,NT
24,05-Feb-1996,429.95,431.0,420.05,430.0,White,1,9,0.05000000000001137,5,VB,TNY,TNY,VB,Positive,30,Extremely Bullish,BL,TNYVBTNYW,BL
25,06-Feb-1996,430.0,452.5,430.0,440.0,White,12,0,10.0,8,VB,VB,VB,TNY,Positive,25,Extremely Bullish,BL,VBTNYVBW,BL
26,07-Feb-1996,440.0,432.0,427.0,428.3,Black,8,1,11.699999999999989,7,TNY,VB,VB,TNY,Negative,1,Neutral,NT,VBTNYVBB,BL
