,Date,Open Price,High Price,Low Price,Close Price
0,01/01/97,790.0,810.0,790.0,790.1
1,01/02/97,799.9,804.0,791.0,797.4
2,01/03/97,791.05,799.0,791.05,796.0
3,01/06/97,809.0,809.0,800.0,800.0
4,01/07/97,790.05,803.0,790.05,801.7
5,01/08/97,810.0,810.0,800.05,801.6
6,01/09/97,800.0,809.5,800.0,809.45
7,01/10/97,819.5,830.0,815.0,821.05
8,01/13/97,829.9,832.9,827.1,832.9
9,01/14/97,835.0,835.0,827.05,833.85
10,01/15/97,858.5,870.0,858.0,869.9
11,01/16/97,885.0,885.0,811.2,811.2
12,01/17/97,815.0,830.0,815.0,830.0
13,01/20/97,835.95,842.0,826.0,826.0
14,01/21/97,810.05,824.0,805.0,807.7
15,01/22/97,821.0,836.5,816.0,836.5
16,01/24/97,826.1,826.1,817.0,818.25
17,01/27/97,855.9,870.0,850.0,850.0
18,01/28/97,838.0,838.0,827.05,831.8
19,01/29/97,837.0,837.0,837.0,837.0
20,01/30/97,828.0,833.5,826.25,828.15
21,01/31/97,827.0,835.0,827.0,834.0
22,02/03/97,827.0,840.0,827.0,835.1
23,02/04/97,835.0,862.0,835.0,837.75
24,02/05/97,869.0,869.75,855.0,855.0
25,02/06/97,845.0,858.0,845.0,855.0
26,02/07/97,862.0,865.0,862.0,862.0
27,02/10/97,870.0,870.0,865.0,866.0
28,02/11/97,870.0,890.0,869.0,889.95
29,02/12/97,905.0,905.0,886.25,900.0
30,02/13/97,899.1,903.0,897.0,902.35
31,02/14/97,948.95,948.95,895.0,895.35
32,02/17/97,915.0,915.0,895.0,900.95
33,02/18/97,899.0,904.95,895.0,898.45
34,02/19/97,861.5,910.0,861.5,910.0
35,02/20/97,908.0,912.0,905.0,910.05
36,02/21/97,905.05,921.0,905.05,921.0
37,02/24/97,907.0,910.0,905.1,905.55
38,02/25/97,910.0,925.0,906.1,916.15
39,02/26/97,920.0,944.0,920.0,942.35
40,02/27/97,940.15,959.5,940.0,959.5
41,02/28/97,1010.0,1029.0,1010.0,1026.0
42,03/01/97,1075.0,1097.85,1075.0,1097.85
43,03/03/97,1159.0,1174.7,1120.0,1174.65
44,03/04/97,1174.9,1175.0,1115.0,1136.55
45,03/05/97,1200.0,1200.0,1130.05,1145.5
46,03/06/97,1175.75,1180.0,1067.0,1091.6
47,03/10/97,1020.0,1061.0,1020.0,1020.05
48,03/11/97,1050.0,1050.0,981.0,1003.85
49,03/12/97,1040.0,1050.0,1016.5,1036.4
50,03/13/97,1039.0,1060.0,1038.0,1045.0
51,03/14/97,1045.0,1059.5,1042.0,1042.5
52,03/17/97,993.0,1054.0,993.0,1040.0
53,03/18/97,1042.05,1045.0,1010.0,1023.4
54,03/19/97,1038.0,1040.0,1023.0,1024.8
55,03/20/97,965.1,1029.0,965.1,1025.0
56,03/21/97,1023.0,1025.0,1010.05,1023.0
57,03/25/97,1025.0,1065.0,1018.55,1050.55
58,03/26/97,1035.1,1061.0,1035.1,1061.0
59,03/27/97,1082.95,1100.0,1071.0,1099.55
60,03/31/97,1022.6,1022.6,1022.6,1022.6
61,04/01/97,950.05,1034.95,950.0,1009.6
62,04/02/97,1050.0,1077.0,1050.0,1074.4
63,04/03/97,1080.0,1143.0,1080.0,1130.65
64,04/04/97,1209.8,1209.8,1158.0,1209.8
65,04/07/97,1210.5,1210.5,1210.5,1210.5
66,04/09/97,1275.0,1275.0,1275.0,1275.0
67,04/09/97,1295.2,1295.2,1261.5,1269.55
68,04/10/97,1266.0,1270.0,1180.75,1195.65
69,04/11/97,1148.1,1195.0,1144.0,1189.9
70,04/12/97,1168.0,1205.0,1164.0,1181.2
71,04/15/97,1205.0,1225.0,1200.0,1218.55
72,04/17/97,1225.6,1240.0,1220.5,1238.6
73,04/21/97,1255.0,1278.5,1255.0,1275.9
74,04/22/97,1280.0,1305.0,1280.0,1300.05
75,04/23/97,1294.0,1295.0,1286.0,1294.85
76,04/24/97,1302.8,1302.8,1291.1,1298.0
77,04/25/97,1291.1,1325.0,1291.1,1322.6
78,04/28/97,1328.0,1415.2,1315.0,1415.0
79,04/29/97,1430.0,1490.0,1345.0,1408.05
80,04/30/97,1440.0,1498.0,1440.0,1451.6
81,05/02/97,1444.0,1449.5,1420.0,1435.4
82,05/05/97,1421.0,1433.0,1401.0,1406.2
83,05/06/97,1406.0,1420.0,1396.0,1417.05
84,05/07/97,1415.0,1439.5,1407.5,1428.75
85,05/08/97,1450.0,1477.0,1440.0,1464.7
86,05/09/97,1465.0,1479.0,1459.0,1466.0
87,05/12/97,1460.0,1460.0,1460.0,1460.0
88,05/12/97,1463.0,1465.0,1440.0,1445.5
89,05/13/97,1445.0,1455.6,1445.0,1453.05
90,05/14/97,1450.0,1452.0,1430.0,1450.35
91,05/15/97,1450.5,1450.5,1435.1,1439.35
92,05/16/97,1440.0,1442.0,1432.0,1438.05
93,05/19/97,1444.0,1461.75,1439.0,1448.05
94,05/20/97,1350.0,1350.0,1350.0,1350.0
95,05/20/97,1442.0,1450.0,1442.0,1448.0
96,05/21/97,1450.0,1450.0,1439.0,1441.6
97,05/22/97,1440.0,1440.0,1378.0,1396.5
98,05/23/97,1394.0,1449.85,1380.0,1424.5
99,05/26/97,1421.0,1445.0,1421.0,1436.4
100,05/27/97,1448.9,1490.0,1441.05,1467.2
101,05/28/97,1436.0,1446.9,1420.1,1440.1
102,05/29/97,1439.95,1446.5,1437.0,1443.8
103,05/30/97,1450.0,1485.0,1450.0,1480.5
104,06/02/97,1468.0,1500.0,1468.0,1497.45
105,06/03/97,1499.95,1562.0,1499.95,1540.7
106,06/04/97,1532.0,1547.0,1530.0,1542.0
107,06/05/97,1550.0,1560.0,1535.5,1538.2
108,06/06/97,1528.0,1560.0,1502.55,1553.3
109,06/09/97,1558.0,1661.95,1555.0,1646.55
110,06/10/97,1600.0,1761.0,1600.0,1761.0
111,06/10/97,1640.5,1761.85,1640.5,1761.85
112,06/11/97,1845.0,1845.0,1800.0,1800.0
113,06/11/97,1810.95,1850.0,1730.0,1747.1
114,06/12/97,1747.95,1795.0,1730.0,1745.3
115,06/13/97,1725.0,1725.0,1725.0,1725.0
116,06/13/97,1711.0,1735.0,1710.0,1722.45
117,06/16/97,1650.0,1650.0,1650.0,1650.0
118,06/16/97,1660.0,1710.0,1605.0,1620.55
119,06/17/97,1690.0,1734.0,1690.0,1734.0
120,06/18/97,1850.0,1855.4,1850.0,1855.4
121,06/19/97,1860.0,1860.0,1860.0,1860.0
122,06/19/97,1950.0,1950.0,1810.0,1896.1
123,06/20/97,1915.0,1915.0,1860.5,1874.6
124,06/23/97,1855.0,1860.0,1820.0,1847.05
125,06/24/97,1811.0,1839.0,1750.0,1775.6
126,06/25/97,1800.0,1880.0,1800.0,1819.5
127,06/26/97,1826.0,1864.0,1820.0,1852.5
128,06/27/97,1836.5,1837.0,1810.6,1817.0
129,06/30/97,1835.0,1835.0,1835.0,1835.0
130,06/30/97,1815.0,1860.0,1815.0,1856.45
131,07/01/97,1875.0,1975.0,1875.0,1934.55
132,07/02/97,1945.0,1949.0,1897.0,1921.1
133,07/03/97,1950.0,1950.0,1950.0,1950.0
134,07/03/97,1918.0,1990.0,1895.0,1970.3
135,07/04/97,2000.0,2000.0,2000.0,2000.0
136,07/04/97,1988.0,2050.0,1960.0,2003.75
137,07/07/97,2090.0,2144.05,2020.0,2144.05
138,07/08/97,2189.0,2195.0,2000.0,2109.15
139,07/09/97,2001.0,2250.0,2001.0,2240.2
140,07/10/97,2250.0,2320.0,2225.0,2275.15
141,07/11/97,2300.0,2350.0,2300.0,2350.0
142,07/11/97,2200.0,2434.3,2200.0,2415.1
143,07/14/97,2439.0,2528.75,2420.0,2497.75
144,07/15/97,2519.0,2519.0,2375.0,2396.0
145,07/16/97,2425.0,2520.0,2361.0,2389.7
146,07/17/97,2378.3,2434.0,2344.05,2412.0
147,07/21/97,2352.0,2352.0,2243.2,2243.2
148,07/22/97,2086.2,2299.0,2086.2,2086.2
149,07/23/97,2075.0,2145.0,2065.0,2101.2
150,07/24/97,2087.1,2115.0,2061.0,2078.5
151,07/25/97,2046.0,2079.0,1995.0,2016.35
152,07/28/97,1965.2,2019.0,1965.2,2001.55
153,07/29/97,2031.0,2031.0,1975.0,1989.9
154,07/30/97,2020.0,2020.0,1985.0,1991.0
155,07/31/97,2008.7,2130.4,2000.0,2058.9
156,08/01/97,2170.0,2203.05,2161.1,2203.05
157,08/04/97,2356.0,2357.3,2325.0,2349.1
158,08/05/97,2383.6,2385.0,2250.0,2292.5
159,08/06/97,2365.0,2370.0,2260.0,2279.85
160,08/07/97,2320.0,2320.0,2251.0,2272.5
161,08/08/97,2260.0,2260.0,2180.0,2209.3
162,08/11/97,2200.0,2318.0,2200.0,2273.75
163,08/12/97,2265.05,2300.0,2190.0,2219.4
164,08/13/97,2175.0,2240.0,2156.0,2230.45
165,08/14/97,2100.0,2200.0,2074.5,2192.05
166,08/18/97,2165.0,2345.5,2165.0,2334.6
167,08/19/97,2375.0,2405.0,2260.0,2300.15
168,08/20/97,1081.0,1224.0,1081.0,1207.15
169,08/21/97,1215.0,1225.0,1189.0,1214.8
170,08/22/97,1220.0,1220.0,1206.0,1216.2
171,08/25/97,1210.0,1255.0,1200.0,1243.15
172,08/26/97,1250.0,1299.0,1250.0,1294.0
173,08/27/97,1305.0,1345.0,1300.0,1321.45
174,08/28/97,1312.0,1325.0,1262.0,1284.65
175,08/29/97,1262.0,1281.0,1252.0,1271.3
176,09/01/97,1283.0,1283.0,1267.55,1278.9
177,09/02/97,1270.2,1314.7,1270.2,1285.85
178,09/03/97,1285.0,1289.0,1260.0,1273.55
179,09/04/97,1273.0,1280.0,1261.25,1277.8
180,09/05/97,1282.0,1318.0,1276.0,1309.65
181,09/08/97,1291.1,1401.35,1290.0,1401.35
182,09/09/97,1449.0,1499.45,1449.0,1497.8
183,09/10/97,1490.0,1490.0,1392.0,1478.55
184,09/11/97,1442.0,1449.9,1395.25,1423.6
185,09/12/97,1399.0,1426.0,1399.0,1425.0
186,09/12/97,1410.0,1468.9,1391.0,1444.2
187,09/15/97,1459.0,1459.0,1459.0,1459.0
188,09/15/97,1406.0,1459.0,1406.0,1430.65
189,09/16/97,1450.0,1450.0,1450.0,1450.0
190,09/16/97,1446.0,1460.0,1415.0,1448.3
191,09/17/97,1430.0,1435.0,1419.25,1423.5
192,09/18/97,1381.0,1381.0,1340.05,1340.05
193,09/18/97,1310.0,1357.9,1310.0,1339.3
194,09/19/97,1345.0,1435.0,1332.75,1397.3
195,09/22/97,1410.0,1451.0,1387.05,1421.45
196,09/23/97,1440.0,1459.0,1440.0,1459.0
197,09/23/97,1420.0,1488.75,1420.0,1471.05
198,09/24/97,1455.0,1535.0,1455.0,1515.45
199,09/25/97,1512.05,1575.0,1512.05,1557.6
200,09/26/97,1545.0,1545.0,1545.0,1545.0
201,09/26/97,1578.0,1624.0,1565.0,1594.75
202,09/29/97,1635.0,1635.0,1635.0,1635.0
203,09/29/97,1580.0,1629.95,1580.0,1603.5
204,09/30/97,1500.0,1575.0,1500.0,1575.0
205,09/30/97,1597.95,1639.0,1581.0,1619.5
206,10/01/97,1600.0,1600.0,1570.0,1570.0
207,10/01/97,1585.0,1604.9,1556.05,1597.95
208,10/09/97,1480.0,1515.0,1461.0,1476.9
209,10/10/97,1550.0,1550.0,1550.0,1550.0
210,10/10/97,1495.0,1610.0,1495.0,1572.9
211,10/13/97,1599.0,1600.0,1599.0,1600.0
212,10/13/97,1598.0,1609.9,1550.0,1591.85
213,10/14/97,1575.0,1593.0,1575.0,1575.0
214,10/14/97,1602.0,1602.0,1540.0,1556.45
215,10/15/97,1500.0,1600.0,1427.0,1547.5
216,10/16/97,1550.0,1550.0,1476.1,1495.65
217,10/17/97,1498.95,1525.0,1465.0,1485.55
218,10/20/97,1450.1,1510.0,1450.1,1489.2
219,10/21/97,1489.0,1500.0,1456.0,1472.25
220,10/22/97,1472.0,1482.0,1425.0,1432.75
221,10/23/97,1421.0,1430.0,1372.0,1401.3
222,10/24/97,1391.1,1405.0,1342.0,1390.5
223,10/27/97,1372.0,1384.0,1365.0,1376.7
224,10/28/97,1355.0,1355.0,1250.0,1287.2
225,10/29/97,1354.0,1388.0,1327.0,1381.7
226,10/30/97,1360.0,1367.0,1338.25,1345.95
227,11/03/97,1345.05,1358.0,1303.0,1331.1
228,11/04/97,1343.0,1367.0,1310.5,1348.2
229,11/05/97,1322.0,1330.0,1275.2,1305.05
230,11/06/97,1296.0,1308.0,1284.0,1303.3
231,11/07/97,1291.05,1320.0,1291.05,1309.6
232,11/10/97,1308.0,1308.85,1291.1,1305.25
233,11/11/97,1300.0,1380.0,1300.0,1364.8
234,11/12/97,1370.0,1370.0,1316.0,1316.85
235,11/13/97,1313.0,1319.0,1294.0,1310.1
236,11/17/97,1330.0,1330.0,1305.05,1321.85
237,11/18/97,1350.0,1350.0,1350.0,1350.0
238,11/18/97,1325.0,1325.0,1291.0,1302.05
239,11/19/97,1395.0,1395.0,1395.0,1395.0
240,11/19/97,1285.0,1377.0,1285.0,1365.65
241,11/20/97,1475.0,1475.0,1475.0,1475.0
242,11/20/97,1353.1,1461.0,1353.1,1453.5
243,11/21/97,1412.0,1499.0,1395.05,1404.95
244,11/24/97,1410.0,1470.0,1358.3,1377.6
245,11/25/97,1371.05,1460.0,1362.0,1442.0
246,11/26/97,1445.0,1445.0,1403.0,1427.55
247,11/27/97,1416.0,1439.0,1416.0,1432.2
248,11/28/97,1430.0,1430.0,1430.0,1430.0
249,11/28/97,1400.0,1428.0,1377.05,1385.65
250,12/01/97,1395.0,1423.95,1368.0,1418.8
251,12/02/97,1430.0,1430.0,1430.0,1430.0
252,12/02/97,1418.0,1438.0,1403.65,1409.3
253,12/03/97,1410.0,1410.0,1410.0,1410.0
254,12/03/97,1405.0,1428.0,1403.0,1410.05
255,12/04/97,1405.0,1410.0,1350.0,1384.4
256,12/05/97,1387.0,1393.95,1367.55,1374.8
257,12/08/97,1375.0,1378.0,1308.0,1322.75
258,12/09/97,1375.0,1375.0,1375.0,1375.0
259,12/09/97,1324.0,1326.0,1296.0,1303.3
260,12/10/97,1292.0,1324.0,1292.0,1306.0
261,12/11/97,1299.0,1304.0,1175.4,1220.7
262,12/12/97,1201.0,1220.0,1102.15,1107.15
263,12/15/97,1200.0,1200.0,1200.0,1200.0
264,12/15/97,1119.95,1170.0,1108.0,1146.55
265,12/16/97,1168.0,1168.0,1101.0,1125.2
266,12/17/97,1169.0,1204.0,1154.0,1181.1
267,12/18/97,1186.0,1191.0,1165.2,1169.5
268,12/19/97,1171.65,1177.95,1169.0,1176.0
269,12/22/97,1199.0,1205.0,1179.9,1193.7
270,12/23/97,1195.0,1207.95,1143.05,1151.5
271,12/24/97,1160.0,1190.0,1153.0,1178.95
272,12/26/97,1184.0,1197.0,1173.05,1188.05
273,12/29/97,1191.0,1243.0,1183.5,1231.45
274,12/30/97,1241.0,1241.0,1193.05,1200.9
275,12/31/97,1210.0,1254.6,1210.0,1241.05
